logical_vehicle_id,purity_status,review_reason,max_speed_px_per_frame,max_bbox_area_ratio,raw_switch_count
lv_0001,PURITY_PASS,,8.98,1.29,0
lv_0002,PURITY_PASS,,7.33,1.19,0
lv_0003,PURITY_PASS,,4.69,1.22,0
lv_0004,PURITY_PASS,,3.91,1.26,0
lv_0005,PURITY_REVIEW,raw_switch_area_jump,4.00,2.08,1
lv_0006,PURITY_PASS,,2.89,1.18,0
lv_0007,PURITY_PASS,,3.97,1.12,0
lv_0008,PURITY_PASS,,10.82,1.29,0
lv_0009,PURITY_PASS,,4.21,1.22,2
lv_0010,PURITY_PASS,,2.78,1.09,0
lv_0011,PURITY_PASS,,9.43,1.15,0
lv_0012,PURITY_PASS,,1.98,1.12,0
lv_0013,PURITY_PASS,,15.30,1.29,0
lv_0014,PURITY_PASS,,13.04,1.38,0
lv_0015,PURITY_PASS,,4.36,1.17,0
lv_0016,PURITY_PASS,,10.78,1.12,0
lv_0019,PURITY_PASS,,8.15,1.27,0
lv_0020,PURITY_PASS,,6.62,1.31,0
lv_0021,PURITY_PASS,,9.45,1.20,0
lv_0022,PURITY_PASS,,7.59,1.26,0
lv_0023,PURITY_PASS,,1.33,1.06,0
lv_0024,PURITY_REVIEW,raw_switch_area_jump,9.75,2.00,3
lv_0025,PURITY_PASS,,0.61,1.01,0
lv_0026,PURITY_PASS,,0.70,1.01,0
lv_0027,PURITY_PASS,,0.00,1.00,0
lv_0030,PURITY_PASS,,0.45,1.09,0
lv_0031,PURITY_PASS,,0.30,1.02,0
lv_0032,PURITY_PASS,,2.30,1.01,0
lv_0033,PURITY_PASS,,0.22,1.03,0
lv_0034,PURITY_PASS,,2.44,1.03,0
lv_0035,PURITY_PASS,,4.19,1.12,0
lv_0036,PURITY_PASS,,3.04,1.32,0
lv_0037,PURITY_PASS,,1.04,1.04,0
lv_0038,PURITY_PASS,,0.27,1.04,0
lv_0039,PURITY_PASS,,3.53,1.58,0
lv_0040,PURITY_PASS,,3.70,1.13,0
lv_0041,PURITY_PASS,,3.87,1.54,0
lv_0042,PURITY_PASS,,4.26,1.20,0
lv_0043,PURITY_PASS,,2.61,1.17,0
lv_0044,PURITY_PASS,,0.00,1.00,0
