raw_track_id,from_logical_vehicle_id,to_logical_vehicle_id,gap_frames,center_distance_px,center_distance_per_frame,bbox_size_ratio,class_compatible,suggested_action,merge_reason
mot_0008,lv_0007,lv_0012,18,26.19,1.38,1.07,yes,AUTO_MERGE_APPLIED,same_raw_occlusion_recovery
mot_0226,lv_0017,lv_0018,7,0.28,0.03,1.00,yes,REVIEW_RAW_SPLIT,
mot_0420,lv_0024,lv_0028,2,1.68,0.56,1.03,yes,AUTO_MERGE_APPLIED,same_raw_low_gap_continuity
mot_0421,lv_0025,lv_0027,21,0.31,0.01,1.02,yes,REVIEW_RAW_SPLIT,
mot_0424,lv_0026,lv_0029,4,5.13,1.03,1.04,yes,REVIEW_RAW_SPLIT,
mot_0424,lv_0029,lv_0028,1,2.00,1.00,1.02,yes,AUTO_MERGE_APPLIED,same_raw_low_gap_continuity
mot_0424,lv_0028,lv_0037,22,14.68,0.64,1.02,yes,AUTO_MERGE_APPLIED,same_raw_occlusion_recovery
mot_0500,lv_0031,lv_0033,28,0.47,0.02,1.02,yes,REVIEW_RAW_SPLIT,
mot_0527,lv_0032,lv_0034,25,55.75,2.14,1.06,yes,KEEP_SPLIT_ID_SWITCH_RISK,
mot_0622,lv_0041,lv_0043,11,17.03,1.42,1.05,yes,AUTO_MERGE_APPLIED,same_raw_occlusion_recovery
mot_0622,lv_0043,lv_0044,16,5.80,0.34,1.06,yes,REVIEW_RAW_SPLIT,
