logical_vehicle_id,class_votes,detected_frame_count,median_bbox_area,vehicle_validity_status,exclude_reason,review_reason
lv_0001,car:80,80,7676.31,AUTO_KEEP,,
lv_0002,car:331,331,5737.84,AUTO_KEEP,,
lv_0003,car:455,455,1857.08,AUTO_KEEP,,
lv_0004,car:243,243,6304.36,AUTO_KEEP,,
lv_0005,car:311,311,1153.92,AUTO_KEEP,,
lv_0006,car:384,384,1374.42,AUTO_KEEP,,
lv_0007,car:173,173,1145.18,AUTO_KEEP,,
lv_0008,bus:166|car:21|truck:143,330,10859.16,AUTO_KEEP,,
lv_0009,car:2000,2000,2426.52,AUTO_KEEP,,
lv_0010,bus:1|car:1225|truck:588,1814,1996.98,AUTO_KEEP,,
lv_0011,car:1860,1860,7201.83,AUTO_KEEP,,
lv_0012,car:20,20,701.42,REVIEW_ONLY_IF_UNCERTAIN,,small_short_vehicle_like_target
lv_0013,car:1781,1781,7031.32,AUTO_KEEP,,
lv_0014,car:446,446,6582.95,AUTO_KEEP,,
lv_0015,car:1453,1453,2549.04,AUTO_KEEP,,
lv_0016,car:1364,1364,9916.84,AUTO_KEEP,,
lv_0019,car:1262,1262,2368.05,AUTO_KEEP,,
lv_0020,car:1248,1248,9410.57,AUTO_KEEP,,
lv_0021,car:352,352,3459.54,AUTO_KEEP,,
lv_0022,car:433,433,2129.73,AUTO_KEEP,,
lv_0023,car:40,40,989.17,AUTO_KEEP,,
lv_0024,car:181|truck:15,196,1364.64,AUTO_KEEP,,
lv_0025,car:4,4,1375.74,AUTO_KEEP,,
lv_0026,car:3,3,1225.92,AUTO_KEEP,,
lv_0027,car:1,1,1432.37,AUTO_KEEP,,
lv_0030,car:81,81,1780.82,AUTO_KEEP,,
lv_0031,car:14,14,483.39,REVIEW_ONLY_IF_UNCERTAIN,,small_short_vehicle_like_target
lv_0032,car:4,4,1511.84,AUTO_KEEP,,
lv_0033,car:33,33,488.93,REVIEW_ONLY_IF_UNCERTAIN,,small_short_vehicle_like_target
lv_0034,car:2,2,1372.25,AUTO_KEEP,,
lv_0035,car:397,397,2737.43,AUTO_KEEP,,
lv_0036,car:62,62,2568.42,AUTO_KEEP,,
lv_0037,car:405,405,1645.44,AUTO_KEEP,,
lv_0038,car:405,405,2004.40,AUTO_KEEP,,
lv_0039,car:48,48,911.59,AUTO_KEEP,,
lv_0040,car:288,288,1209.72,AUTO_KEEP,,
lv_0041,car:94,94,1191.37,AUTO_KEEP,,
lv_0042,car:77,77,2424.29,AUTO_KEEP,,
lv_0043,car:82,82,1666.17,AUTO_KEEP,,
lv_0044,car:1,1,1897.90,AUTO_KEEP,,
